שם פרויקט,מספר פרויקט,סטטוס
כוכב הצפון - ריינה,3816,הסתיים
כוכב הצפון יערי 26,536,הסתיים
כותרי פיס,3613,הסתיים
"כי""ח מעיר - ירושלים",239,הסתיים
כיכר 3 - בנימינה,3401,הסתיים
כיכר באיבטין,3684,הסתיים
כיכר בחסן שוקרי ח.10418/9,3926,הסתיים
כיכר בית שערים,3829,הסתיים
כיכר המושבה,910,הסתיים
כיכר הציונות - הרצליה,157,הסתיים
כיכר חיל ההנדסה,5086,הסתיים
כיכר מגד,3320,הסתיים
כיכר תלפיות,4332,הסתיים
כימיקלים לישראל,131,הסתיים
כיסרא סמיע - 402,30402,הסתיים
כיסרא סמיע- עב' תיקון והשלמת קוי מים וביוב 10/2019,30554,הסתיים
כיתן - הדר יוסף,192,הסתיים
כלא גבעון,433,הסתיים
כלא נוה תרצה,432,הסתיים
כלמוביל,3763,הסתיים
"כלמוביל פ""ת",588,הסתיים
כלנית אור יהודה,993,הסתיים
כמאנה - כביש 12,3788,הסתיים
כניסה ויציאה לביג נצרת מכביש 75,3861,הסתיים
כנפי נשרים קו ירוק ירושלים,967,הסתיים
כפר גלים - מבנה פנימיה,3840,הסתיים
כפר דוד,446,הסתיים
כפר חוואלד ,3687,הסתיים
כפר יונה,3663,הסתיים
"כפר יונה - מנהלת מגורים צ""הל",348,הסתיים
כפר כנא - פיתוח שלב ב' והשלמת ניקוז 4/2016,30522,הסתיים
כפר כנא - פיתוח תשתיות שלב ג' 05/2017,30541,הסתיים
כפר קרע,3356,הסתיים
כפר רות - עמותת שבי ישראל,139,הסתיים
כפר תבור - פיתוח,3907,הסתיים
כרכור,288,הסתיים
כרמיאל - 405,30405,הסתיים
"כרמל - היחידה לניהול סיכונים, אבטחת איכות",3999,הסתיים
כרמל - מחלקת התאוששות,3995,הסתיים
כרמל - פרגולה מחלקת ילדים,3990,הסתיים
כרמל צרפתי - שיקום רחובות,3892,הסתיים
כתיבת מכרזים,3762,הסתיים
לוזית,4333,הסתיים
לילך גינת,444,הסתיים
לקסוס הרצליה אולם תצוגה ,918,הסתיים
מ א טל-עירון,128,הסתיים
מאפו 5,561,הסתיים
מבוא ביתר,361,הסתיים
"מבואה צפונית - ב""ש",338,הסתיים
מבנה 2020,871,הסתיים
מבנה בקרה מטרופוליני,3929,הסתיים
מבנה חדש ליד לקסוס בצ'ק פוסט,3908,הסתיים
מבנה מסחרי בבית שאן,3784,הסתיים
מבנה משרדים - קרית הממשלה נצרת עילית,3927,הסתיים
מבנה משרדים מתחמ לוד,1009,הסתיים
מבנה נעול נווה מנשה,3853,הסתיים
מבנה רב תכליתי,3758,הסתיים
מבנה רב תכליתי ראס עלי,3921,הסתיים
מבנה תעשיה בנתיבות,5122,הסתיים
מבני מגורים שכונה ג,5172,הסתיים
מבני תעשיה - כפר קרע,224,הסתיים
מגדל W בוטיק,601,הסתיים
מגדל אלקו - אלקטרה,544,הסתיים
מגדל הגימנסיה,642,הסתיים
מגדל הורד ,191,הסתיים
מגדל המוזיאון,268,הסתיים
מגדל המשחררים,5046,הסתיים
מגדל הספורט בקמפוס,5059,הסתיים
מגדל העמק - מבנה נוער,3839,הסתיים
מגדל העצמאות - בנק לאומי,5006,הסתיים
מגדל השחר,716,הסתיים
מגדל סביון בת ים,857,הסתיים
מגדל עדן,896,הסתיים
מגדל עדר,828,הסתיים
מגדל רוטשילד/אלנבי,511,הסתיים
מגדל רמז,532,הסתיים
מג'דל שמס - עבודות פיתוח ותשתיות 88007/16,30520,הסתיים
מגדל שמפניון,950,הסתיים
מגדלי LYFE בני ברק,897,הסתיים
מגדלי אלפא,3836,הסתיים
"מגדלי אם המושבות, פ""ת",322,הסתיים
מגדלי גינדי תל אביב - מגדל 1,811,הסתיים
מגדלי גינדי תל אביב - מגדל 2,851,הסתיים
מגדלי הארבעה,701,הסתיים
מגדלי הבירה - רוממה,4274,הסתיים
"מגדלי הגראנד קניון ב""ש",5158,הסתיים
מגדלי הוד השרון,551,הסתיים
מגדלי הריביירה נתניה,3721,הסתיים
מגדלי טוביהו,5052,הסתיים
מגדלי מצילים,3731,הסתיים
מגדלי עלית ים סוף,815,הסתיים
"מגורים 11 יח""ד בקרית אתא",3878,הסתיים
מגורים בדניה,3996,הסתיים
מגורים נתניה מזרח - גנדן-נדלן,283,הסתיים
מגידו הרחבה,3661,הסתיים
מגרש 705 - M TOWER,5159,הסתיים
מגרש אלף ואחד - עיר ימים נתניה,749,הסתיים
מגרש חניה טירת הכרמל,3645,הסתיים
מגרש משולב שגב שלום,5063,הסתיים
מגרש ספורט בטלאל,3776,הסתיים
מגרש ספורט במנוף,3765,הסתיים
מגרש ספורט משולב בשכניה,3774,הסתיים
מדרגות לכיש,3601,הסתיים
מובל ניקוז כורדני - חצייה מתחת לשדרות ירושלים,3949,הסתיים
"מודיעין עילית - משהב""ש",214,הסתיים
מוזיאון העיצוב חולון,373,הסתיים
מוזיאון ישראל בית כנסת סורינאם,4313,הסתיים
מול 7 - שער הנגב,5099,הסתיים
"מול הפארק ב""ש",5017,הסתיים
מוסך אוטובוסים ברמלה,832,הסתיים
מוסך הינו,677,הסתיים
מוסך טויוטה,3756,הסתיים
מוסך מ.א.ן,735,הסתיים
מוסך מרצדס,448,הסתיים
מוסך מרצדס - ראש פינה,3703,הסתיים
מוסך רום במות פתח תקוה,827,הסתיים
מועדון בית גיל הזהב - מעגן מיכאל,3686,הסתיים
"מועדון גיל הזהב - פ""ח",3349,הסתיים
מועדון גיל הזהב - קציר,3345,הסתיים
מועדון כפר חוואלד,3811,הסתיים
"מועדון לחרשים - מרש""ל",5131,הסתיים
מועדון נוער - דניה,3745,הסתיים
מועדון נוער באיבטין,3714,הסתיים
מועדון נוער הצופים - אשקלון,5139,הסתיים
מועדון נוער חוואלד,3738,הסתיים
מועדון נוער נווה חורש - דימונה,5023,הסתיים
מועדון פיס קהילתי - דימונה,5022,הסתיים
מועדון פיס קרית שמואל ח.10710/18,3912,הסתיים
מועדוני נוער באר שבע,5120,הסתיים
מועדונים ברהט,5107,הסתיים
מועצה אזורית שומרון,3378,הסתיים
"מועצה מקומית פ""ח כרכור - יעוץ כללי",3369,הסתיים
מורדות נווה יעקב,4298,הסתיים
מושב מצליח,4340,הסתיים
מזרקה ברהט,5106,הסתיים
מחלף גולני,3734,הסתיים
מחלף המוביל שלב ג' - השלמות,3881,הסתיים
מחלף הראל - י-ם,434,הסתיים
מחלף יגור - נתיבי ישראל,3987,הסתיים
מחלקה משפטית בנין עיריית חיפה,3796,הסתיים
מחסן לוגיסטי בקיסריה,3787,הסתיים
מחסני השוק,5029,הסתיים
מחסני השוק האורגים,5048,הסתיים
מחסני השוק מיתרים,5087,הסתיים
מחסני השוק עין יהב,5076,הסתיים
מחסני השוק שכונה ט',5049,הסתיים
מחצבת שפיה,3398,הסתיים
מטרונית - קטע דרומי ח.10130/8,3842,הסתיים
מטרונית - קטע מרכזי,3841,הסתיים
מי ברק,727,הסתיים
מי עדן,3909,הסתיים
מידול בית המכס,7050,הסתיים
מיזוג אויר בבתי ספר ח.12900/18,3946,הסתיים
"מיטירני - ""בגובה העיניים""",429,הסתיים
מים וביוב תחנת דלק בנימינה,3411,הסתיים
מינהלת מעבר משרדי LYFE,22,הסתיים
מיצד חצבה,5084,הסתיים
מירב - מרכז תרבות וספריה,3789,הסתיים
מישור אדומים,4322,הסתיים
מכבים - בני ברק,784,הסתיים
"מכון אחי""ה - בני ברק",402,הסתיים
"מכון שאיבה - פ""ח",3344,הסתיים
מכון תעוות - אנודה שיתופית,198,הסתיים
מכללת אורט בראודה,30119,הסתיים
מכללת ארז,3823,הסתיים
מכללת שאנן - הקמת מבנה חדש במכללה,3931,הסתיים
מכללת שאנן - מבנה ספריה,3971,הסתיים
מכללת שאנן - עבודות מיזוג אויר,3957,הסתיים
מכרז בנימינה,3381,הסתיים
מלון בראון אלנבי,1014,הסתיים
מלון הרצליה פיתוח,721,הסתיים
מלון ככר ציון,7027,הסתיים
מלון קאנטרי קלאב תל אביב,7028,הסתיים
מליבו חדרה,3366,הסתיים
"ממ""י - הרלי - ירושלים",329,הסתיים
ממי-הרלי - צומת בייט,368,הסתיים
מנהרת עזריאלי,804,הסתיים
מסוף טאבה,694,הסתיים
מסוף מטענים בית שאן,3945,הסתיים
מסוף מטענים מגדל העמק,3976,הסתיים
מסוף מטענים נתיבות,734,הסתיים
מסוף מטענים נתיבות - ביצוע,1161,הסתיים
"מע""צ - אחזקה כוללת",3752,הסתיים
"מע""צ - הכנת מכרזים",3761,הסתיים
"מע""צ - מחלף אשדוד",522,הסתיים
"מע""ר הרצליה - כבישים",159,הסתיים
"מע""ש - עירית פ""ת",416,הסתיים
מעבדות גור שאשע - בלינסון ,7030,הסתיים
"מעבר תת""ק ק. חיים",3740,הסתיים
"מעגן מיכאל - חט""ע",3807,הסתיים
מעון בבר יוחאי,3165,הסתיים
מעון בהושעיה,3647,הסתיים
מעון יום בנופית,3626,הסתיים
מעון נוה מנשה,3415,הסתיים
מעונות המחקר באר שבע  ,899,הסתיים
מעייני הישועה,504,הסתיים
מעלה אדומים - חברה כלכלית,208,הסתיים
מעלה אדומים משרדים,855,הסתיים
מעלה גמלא,354,הסתיים
מעלה עירון - ביוב,3370,הסתיים
מעלות - הרחבת שד' הנשיא הרצוג 12/2016,30528,הסתיים
מעלות - מפעל כרמקס,3135,הסתיים
מערכת ביוב עין הוד,3396,הסתיים
מפעל אלומיניום בעמק שרה,5097,הסתיים
מפעל הפיס – ספריות,243,הסתיים
מפעל ייצור,5057,הסתיים
מפעל מלתא,3905,הסתיים
מפעל קמטק,3616,הסתיים
מפעלי חמצן,692,הסתיים
מפרץ שלמה חולון,1132,הסתיים
מצפה ירושלים,4300,הסתיים
מצפה נטופה,3652,הסתיים
מצפה עירון,3397,הסתיים
מצפה צורים,412,הסתיים
"מקב""ת ינוב כפר יונה",3883,הסתיים
מקיף ה - שלב ג - אשקלון,5092,הסתיים
מקיף ה' אשקלון,5072,הסתיים
"מראר - השלמת פיתוח אז""ת 09/2017 ",30551,הסתיים
מראר 544,30544,הסתיים
מרום גליל 688-543,30543,הסתיים
"מרום הגליל - עב' סלילה, מים, ביוב, תאורה ופיתוח 82",30550,הסתיים
מרינה הרצליה,174,הסתיים
מרכבים קיסריה - עבודות בניה,3991,הסתיים
מרכז בינוי דלויה - עמק שרה,5067,הסתיים
מרכז דן,7005,הסתיים
מרכז הנגב באר שבע,5138,הסתיים
מרכז יום לקשיש - בית שאן,3170,הסתיים
"מרכז יום לקשיש - קרן - ת""א",299,הסתיים
מרכז יום רב תחומי לקשיש,5157,הסתיים
מרכז כלל ב'2,4215,הסתיים
מרכז לוגיסטי - נאות חובב,5175,הסתיים
מרכז מאן,806,הסתיים
מרכז מבקרים ומשרדי המועצה - נאות חובב,5135,הסתיים
מרכז מבקרים שפדן,440,הסתיים
מרכז מיתר,5170,הסתיים
מרכז מסחרי - לוד,154,הסתיים
מרכז מסחרי בזלת בטבריה,3711,הסתיים
מרכז מסחרי גן יבנה,730,הסתיים
מרכז מסחרי גן יבנה שלב ב,891,הסתיים
מרכז מסחרי כוכב הצפון ,974,הסתיים
מרכז מסחרי רסקו - עכו,3139,הסתיים
מרכז עסקים הרצליה,587,הסתיים
מרכז קהילתי נווה נוי,5117,הסתיים
מרכז רפואי דימונה,5019,הסתיים
מרכז תרבות מכבים – פ'ת,180,הסתיים
מרכזי אופניים,5054,הסתיים
"מרלו""ג H&M",594,הסתיים
"מרלו""ג הראל פ""ת",611,הסתיים
"מרלו""ג טויוטה",770,הסתיים
"מרלו""ג טויוטה",7052,הסתיים
"מרלו""ג מאיר צומת מסמיה",943,הסתיים
"מרלו""ג מכשירי תנועה",699,הסתיים
מרלוג H&M - תוספת קומות,816,הסתיים
מרלו''ג טלקאר,725,הסתיים
"משהב""ט - מצפ""פ",3374,הסתיים
"משהב""ט מרחב התפר",3682,הסתיים
"משהב""ש - הוסטלים",160,הסתיים
"משהב""ש - מורדות נווה יעקב",430,הסתיים
"משהב""ש קרית גת רובע הבנים",4355,הסתיים
משהבש קרית גת גוגנהיים,4358,הסתיים
משואה,4286,הסתיים
משטרת ישראל - נתניה,206,הסתיים
משכנות האומה - בנין 11,4360,הסתיים
משמר דוד,404,הסתיים
משען - שיפוצים בנאות אפקה,464,הסתיים
משען בריכת שחיה,461,הסתיים
"משרד הביטחון - מצפ""פ",218,הסתיים
"משרד הביטחון - מקרפ""ר",217,הסתיים
משרד הביטחון - סוכת בית אל,366,הסתיים
משרד הביטחון גבול הצפון,3633,הסתיים
משרד הדתות,517,הסתיים
משרד החוץ,4285,הסתיים
משרד המסחר והתעשיה - כללי,386,הסתיים
משרדי One Plaza,5071,הסתיים
משרדי PWC קסלמן וקסלמן ,977,הסתיים
משרדי WXG,1022,הסתיים
משרדי בזק חולון,1037,הסתיים
"משרדי בזק סנהדרין ב""ש",5118,הסתיים
"משרדי הממשלה ראשל""צ",475,הסתיים
משרדי יוניון מגדל טויוטה,982,הסתיים
משרדי כלל ביטוח פתח תקוה,985,הסתיים
משרדי סמסונג,1054,הסתיים
משרדי עמית פולק מטלון,796,הסתיים
משרדי פישר בכר חן,1025,הסתיים
משרדי פליפקארט,1063,הסתיים
משרדים - ק.אתא,3830,הסתיים
מתחם B-7 באר שבע,5065,הסתיים
מתחם איט-אפ,1120,הסתיים
מתחם ארגמן יבנה,885,הסתיים
"מתחם בית אל - ת""א",345,הסתיים
מתחם גולף הדר יוסף,756,הסתיים
מתחם הארגז,719,הסתיים
מתחם החלוץ - רמת השרון,568,הסתיים
מתחם הנזירות,927,הסתיים
מתחם העיריה - חדרה,332,הסתיים
"מתחם הצעירים - רמה""ש",499,הסתיים
מתחם הקאנטרי שלב א',482,הסתיים
מתחם הקאנטרי שלב ב',613,הסתיים
מתחם הקאנטרי שלב ג' - בנין 5,678,הסתיים
מתחם הקאנטרי שלב ג' - בנין 6,714,הסתיים
מתחם השוק - נס ציונה,347,הסתיים
מתחם טרה,786,הסתיים
מתחם טרה – יגאל אלון,584,הסתיים
מתחם יסוד המעלה הוד השרון,781,הסתיים
מתחם כיתן דימונה ,5133,הסתיים
מתחם לב העיר אופקים,5177,הסתיים
מתחם לביא גבעתיים,964,הסתיים
מתחם לוד שלב ב,1127,הסתיים
מתחם מגורים במגדל,3882,הסתיים
מתחם מגורים בערד,5088,הסתיים
מתחם מונטיפיורי- רגר,5164,הסתיים
מתחם נווה באר-שבע,5160,הסתיים
מתחם ניר צבי - מתחם משטרה,1171,הסתיים
מתחם סולטסט סולל בונה,5083,הסתיים
מתחם פיק - בני ברק,335,הסתיים
מתחם ציבורי גינדי,929,הסתיים
מתחם צ'ק פוסט צפון,3790,הסתיים
"מתחם רחוב הגר""א",778,הסתיים
"מתחם רמב""ם - 83 יחידות דיור",5051,הסתיים
"מתנ""ס אום אל פאחם",3308,הסתיים
"מתנ""ס הר חומה",4309,הסתיים
"מתנ""ס רמות",5001,הסתיים
מתקן התפלה - פלמחים,731,הסתיים
"נ.ע.מ - עב' פיתוח שלב א+ב, סלילה שלב ג' 10009-19",317221,הסתיים
"נ.ת.ע - פ""ת",473,הסתיים
נאות ברק,3372,הסתיים
נאות השרון,3393,הסתיים
נאות חובב - עבודות תשתית וסלילה - מפעל סלע 30/2017,317218,הסתיים
נאות יובלים,3418,הסתיים
נאות ים ,3748,הסתיים
נבטים - אזור תעסוקה,5058,הסתיים
נגב קרמיקה ירוחם,5070,הסתיים
נוה גן 37 יחד,481,הסתיים
נוה צדק - נחושתן,303,הסתיים
נווה אילן,246,הסתיים
נווה הדרים,3350,הסתיים
נווה צדק,116,הסתיים
נווה צדק - מגדל מגורים,489,הסתיים
נווה רם,3855,הסתיים
נויה,7001,הסתיים
נוף עין כרם,4344,הסתיים
נופי כרמל שיכון עובדים,3646,הסתיים
נחום הנביא 16 תל אביב - מגורים חורש,848,הסתיים
נחלת בנימינה,3385,הסתיים
נטפים/חצרים הסדרת רישוי,5115,הסתיים
ניהול אזור תעשיה אופקים,5075,הסתיים
"ניהול פרויקטים בחו""ל - אטריום",353,הסתיים
ניורסט מפעל מזון,948,הסתיים
נמל המפרץ,860,הסתיים
נמל חיפה ,3977,הסתיים
נצרת - 441,30441,הסתיים
נצרת - השלמת עבודות פיתוח שלב א' 1865/14/17,30540,הסתיים
נצרת - מרכז מסחרי,145,הסתיים
נצרת - נאות ברק,249,הסתיים
נצרת ציפורי - עבודות פיתוח 11/2019,30694,הסתיים
נקז ברח' וינגייט וכבישים,162,הסתיים
נקז רח' העצמאות - הרצליה,169,הסתיים
נתיבות - 72 יחידות דיור ,5189,הסתיים
נתיבי איילון - ציר דורי,521,הסתיים
"נתניה - 28 - יח""ד",175,הסתיים
נתניה עיר ימים מגרש 1004,616,הסתיים
סביוני העמק עפולה – אפריקה ישראל,3683,הסתיים
סביוני ים,3750,הסתיים
סוכת בית אל ,4289,הסתיים
סולם,4321,הסתיים
סייבר ארק ,921,הסתיים
"סינמה סיטי ראשל""צ",552,הסתיים
סככת הצלה חוף דדו,3691,הסתיים
סככת מציל חוף דדו - יפה נוף חיפה,3623,הסתיים
סכנין - 425,30425,הסתיים
סכנין - משך עבודות פיתוח 33/2013,30426,הסתיים
"סמינר הקיבוצים - תב""ע",321,הסתיים
"סנטרל פארק - רשל""צ",275,הסתיים
ספא - פארק אזורים,262,הסתיים
ספורטק באר שבע,996,הסתיים
"ספיר שיפר - פ""ת",425,הסתיים
ספריה בפרדס חנה,3195,הסתיים
"ספריה למוסיקה - קרן ת""א",129,הסתיים
ספריה מרכזית - אשקלון,512,הסתיים
ספריה ציבורית בבנימינה,3423,הסתיים
ספריה ציבורית בבנימינה - שלב ב',3194,הסתיים
עבודות אחזקה במרחב צפון,3724,הסתיים
עבודות אחזקת תשתיות בשכ' בנימין,3992,הסתיים
עבודות גמר שרונה,932,הסתיים
עבודות מים וכבישים לבניים - בנימינה,3407,הסתיים
עבודות פיתוח באיבטין,3651,הסתיים
עבודות פיתוח תשתיות שלב ב' -  שגב שלום  85809/17,315809,הסתיים
עבודות קטנות 2014,7040,הסתיים
עד הלום באר טוביה,117,הסתיים
עוקף מורשה מזרח 4-5-4,808,הסתיים
עזריאלי DC,1078,הסתיים
עזריאלי דרום הקריה,711,הסתיים
עזריאלי המנור חולון,868,הסתיים
עזריאלי חולון,710,הסתיים
עזריאלי חולון - שלב ב',801,הסתיים
עזריאלי טאון ,765,הסתיים
עידן הנגב -השלמות פיתוח - 1-2020,317225,הסתיים
עילוט - 387,30387,הסתיים
עילוט - השלמת פיתוח אזור תעשייה 03/2016,30523,הסתיים
עין הים - חדרה,371,הסתיים
עין צורים,5014,הסתיים
עיר ימים - בנין משרדים,742,הסתיים
עיר ימים צוקי השמורה - בנין 3,843,הסתיים
עירית חיפה - אגף המים והביוב,3603,הסתיים
עירית רחובות - שיפוצים,184,הסתיים
עירת אום אל פאחם,266,הסתיים
עלית בפארק,3710,הסתיים
"עמותת נאות חנן - פרוייקט מגורים 750 יח""ד בחריש  ",3993,הסתיים
עמידר ספרינקלרים הוסטל,3671,הסתיים
עמק סנטר,3782,הסתיים
עמק סנטר - עפולה,3694,הסתיים
עפולה - 442,30442,הסתיים
עפולה - א.ת. תדיראן עפולה שלב ב 03/2017,306884,הסתיים
"ערבה - אז""ת ישן השלמת פיתוח  1013/2014",30456,הסתיים
ערד - עבודות עפר ופיתוח למנחת ערד 14/2018,30692,הסתיים
ערים - רכס חלילים,367,הסתיים
ערערה - עב' עפר סלילה ותשתיות שלב א' 1865/14/13,30501,הסתיים
עתיד במדבר,5012,הסתיים
עתלית - מתחם רסקו,3187,הסתיים
עתלית מקומית מועצה,337,הסתיים
עתלית שכונת בולוני,3679,הסתיים
"פ""ת - שמיר - אשדר",415,הסתיים
פאואר סנטר בחדרה,3741,הסתיים
פארמה אקסל,557,הסתיים
פארק אוסישקין בנהריה,3967,הסתיים
פארק אזורים - בנין 1,155,הסתיים
פארק אזורים - בנין 2,221,הסתיים
פארק אזורים - חניון + מרכז מסחרי,269,הסתיים
פארק אזורים - ליווי פיננסי,256,הסתיים
פארק אזורים 2,295,הסתיים
פארק אזורים ב',528,הסתיים
פארק אזורים בנין 3,254,הסתיים
פארק אזורים בנין 4,304,הסתיים
פארק אזורים בנין 6,279,הסתיים
פארק אזורים מתחם הייטק,276,הסתיים
פארק אזורים שלב ב',744,הסתיים
"פארק היין, זכרון יעקב",3879,הסתיים
פארק מדע בקרית ים,3893,הסתיים
"פארק נחל ב""ש - מזרקה",5155,הסתיים
פארק נחל באר שבע,5144,הסתיים
פארק נחל באר שבע - אגם,5152,הסתיים
"פארק עופר 2 בניינים C,D",981,הסתיים
פארק צבאים -  ע.ע בכבישים ומגרש 24/2018,306885,הסתיים
פארק צבאים - 457,30457,הסתיים
פארק תמר,495,הסתיים
פארק תמר בניין 3 אפלייד - רחובות,298,הסתיים
פארק תמר מבנה 4,859,הסתיים
פארק תעשיות קורן במעלות - השלמת פיתוח 05/2017,30546,הסתיים
פורשה הרצליה,720,הסתיים
"פי גלילות - הרל""י",291,הסתיים
פייבר נט,3668,הסתיים
פינוי בינוי גיורא גבעת שמואל,866,הסתיים
פינוי בינוי כללי,259,הסתיים
"פינוי בינוי נווה עופר ת""א",867,הסתיים
"פינות נוי - ב""ש",5047,הסתיים
פיס ירוק - מרכז ספורט אתגרי דימונה,5041,הסתיים
"פיקוח בי""ס אורט",3723,הסתיים
פיקוח בתי ספר וגנים ברהט,5095,הסתיים
פיתוח מתחם הצ'ק פוסט,3716,הסתיים
פיתוח מתחם השיש,3707,הסתיים
פיתוח רחוב בן עמי,3825,הסתיים
פיתוח רחוב שלונסקי,3854,הסתיים
"פיתוח רחובות - פ""ח כרכור",3367,הסתיים
פיתוח ש/507 ,3412,הסתיים
פנינת  נתניה,3753,הסתיים
פנינת גולדה,3655,הסתיים
פנינת שמואל,3673,הסתיים
פסגות ההלכה - מגדל מגורים,418,הסתיים
פסגות ירושלים,4346,הסתיים
פסגת זאב,4293,הסתיים
פסגת זאב - י-ם,436,הסתיים
"פסגת זאב ירושלים משהב""ש",403,הסתיים
פסגת זאב צפון מערב,4350,הסתיים
פסגת סטלה מאריס,3845,הסתיים
פרדס חנה - דרך למרחב,3318,הסתיים
"פרדס חנה - חכ""ל",196,הסתיים
פרדס חנה - כיכר חקלאית,3319,הסתיים
פרדס חנה - כללי,3327,הסתיים
פרדס חנה - נוה התות שלב א',3328,הסתיים
פרדס חנה - נוה התות שלב ב',3333,הסתיים
פרדס חנה - צפון קרקור,219,הסתיים
פרדס חנה - שכונת פרחי הדר,3322,הסתיים
"פרדס חנה בי""ס פירחי הדר",3338,הסתיים
פרוייקט קטנים יפה נוף,3630,הסתיים
"פרויקט ""ארמון"" חיפה",3915,הסתיים
פרויקט ויז'ין קמפוס הנמל,3998,הסתיים
פרויקט מגורים בזכרון יעקב,3910,הסתיים
פרויקט מגורים בכפר סבא,634,הסתיים
פרויקט מגורים בנתניה,607,הסתיים
"פרויקט מגורים בעפולה - רובע יזרעאל 36 יח""ד",3906,הסתיים
פרויקט מגורים ברחובות,618,הסתיים
פרויקט נווה גנים - רישום בית משותף - בקרית מוצקין,3984,הסתיים
"פרויקט רמת הנשיא - תב""ע",3982,הסתיים
פרויקטי משרד הביטחון מחוז נגב,958,הסתיים
פרויקטים בתשתיות ובניה ציבורית,3962,הסתיים
פרי - מרכז לוגיסטי,462,הסתיים
פרי הר,250,הסתיים
פרי מגדים,930,הסתיים
פרישמן 46,593,הסתיים
פ'ת PC יכין חקל,356,הסתיים
"צה""ל - נחשונים",284,הסתיים
צומת בית עלמין בכביש 70,3798,הסתיים
צומת חברון הבורסקאי,5026,הסתיים
צומת כבישים 1/2 במשגב,3770,הסתיים
צוקי השמורה,7073,הסתיים
צור באהר - כביש 2,4304,הסתיים
צור באהר - מוריה,442,הסתיים
צורן,3413,הסתיים
ציפורית - השלמת פיתוח שלב ב' 1017/2015,30462,הסתיים
"ציפורית - עבודות עפר, תשתית ושונות בא.ת. 22/2018",306881,הסתיים
ציר אבו חצירא - נתיבי אילון,385,הסתיים
ציר הנופש,821,הסתיים
ציר הנופש - תסקיר,759,הסתיים
ציר הנופש פיתוח שכונה,923,הסתיים
ציר העדפה בני ברק,841,הסתיים
ציר עתידים,799,הסתיים
ציר שלבים א - תל אביב,800,הסתיים
"צמרת ת""א - גזית גלוב ישראל",529,הסתיים
צפון בקעת באר שבע,5137,הסתיים
צפון ירושלים,4263,הסתיים
צפת - 404,30404,הסתיים
צפת - הנחת קו מיים 8612/17,30688,הסתיים
צפת - עב' פיתוח הרחבה דרומית שלב ב 8641/17,30549,הסתיים
צ'ק פוינט,484,הסתיים
צ'ק פוסט צפון - שלב ב' ח.11011/8,3887,הסתיים
ק.ש.ת. - בנין נורטל,363,הסתיים
קא/322 מתחם ד',733,הסתיים
קאש אנד כארי,376,הסתיים
קאש אנד קארי - שלב ב',496,הסתיים
קבוצת מאיר - פרויקטים קטנים,724,הסתיים
"קבוצת רוכשים - 53 יח""ד בכפר גנים",654,הסתיים
קבוצת רוכשים הוד השרון הנשיאים,645,הסתיים
קבוצת רכישה הוד השרון - מגרש 203,603,הסתיים
"קבוצת רכישה הוד השרון - מגרשים 218, 219",589,הסתיים
קבוצת רכישה משכנות האומה,4339,הסתיים
קבוצת רכישה נווה גן,592,הסתיים
"קדימה 9 יח""ד",3947,הסתיים
קדמת אלמוגי - חלקה 4,3602,הסתיים
קדמת גליל,3156,הסתיים
קדמת גליל  - עב' פיתוח הרחבה מזרחית 87109-17,30552,הסתיים
קדמת גליל 688/545,30545,הסתיים
קו ביוב ותחנת שאיבה בעתלית,3628,הסתיים
קו ביוב מאסף צפון כרכור,3352,הסתיים
קו ביוב רחוב יצחק אבינו ודרך מצדה,5102,הסתיים
"קו ביוב שלב ב', עתלית",3680,הסתיים
קו מים לנווה הדרים,3351,הסתיים
קוגול קיסריה,562,הסתיים
קולנוע תל אביב,615,הסתיים
קומברס רעננה,745,הסתיים
"קופ""ח כללית",4317,הסתיים
"קופ""ח כללית בית שאן",3918,הסתיים
"קופ""ח מכבי - מרכז חורב",3809,הסתיים
"קופ""ח מכבי ט.כרמל",3700,הסתיים
קורס מנהלי פרויקטים 2021,20,הסתיים
קטרפילר,3609,הסתיים
"קיבוץ ארז תב""ע",5193,הסתיים
קיבוץ יגור - כביש יד למגינים,3925,הסתיים
קיקה חוצות המפרץ,3916,הסתיים
קיקה נתניה,608,הסתיים
קירוי מגרש ספורט - בית ספר זינמן,5050,הסתיים
קירות תומכים,3778,הסתיים
קירית שמואל (משהב),3705,הסתיים
קלאב מרקט נהריה,3698,הסתיים
קמפוס מבואות הנגב קיבוץ שובל,5104,הסתיים
קמפוס רמות,7021,הסתיים
קניון טבריה,3771,הסתיים
קניון טבריה - דנילוף,423,הסתיים
קניון טבריה - דנילוף,3690,הסתיים
קניון יקנעם,3767,הסתיים
קניון לב תלפיות,4319,הסתיים
קניון לימסול קפריסין,502,הסתיים
קניון מול היער טבעון,3876,הסתיים
קניון מעלה אדומים,4356,הסתיים
קניון נאות מדבר,5002,הסתיים
קניון נווה זאב,5068,הסתיים
"קניון עיר ימים נתניה - אזורים + שכ""ע",272,הסתיים
קניון עיר ימים שלב ב,820,הסתיים
קניון עיר ימים שלב ב',7063,הסתיים
קניון עכו,3808,הסתיים
קניון קסר אל מנאר,3362,הסתיים
קניון קרית אונו שלב א',225,הסתיים
קניון קרית אונו שלב ב',315,הסתיים
קניון קרית אתא,3806,הסתיים
קניון קרית הממשלה באר שבע,5101,הסתיים
קניון שבעת הכוכבים,665,הסתיים
קניון שיכון עובדים ומבנה חניה בקרית אתא,3933,הסתיים
קציר,3312,הסתיים
